product_id,manufacturer,product_name,catalog_number,source_primary_category,source_subcategory,device_class_code,device_class_label_en,device_subtype_code,device_subtype_label_en,taxonomy_confidence,needs_review,classification_basis,role_codes,procedure_codes
PRD-003C4641E6,CLR Medical,CLR Irrigator,S012-01-019,Pleural procedures,Pleural irrigation instrument,other_needs_review,Other / needs review,unclassified_device,Unclassified — needs review,needs_review,true,unmatched_fallback,PLEURAL_DRAINAGE_ACCESSORY,
PRD-00910661BA,Medtronic,Shiley Flexible Adult Cuffless Tracheostomy Tube with Reusable Inner Cannula — 8UN85R,8UN85R,Tracheostomy,Cuffless tracheostomy tube,tracheostomy_tube,Tracheostomy tube,cuffless_tracheostomy_tube,Cuffless tracheostomy tube,high,false,pair_rule,TRACH_TUBE_CUFFLESS,
PRD-00C13A59AA,Richard Wolf,TEXAS Tracheoscope Tube ID 17.1 mm,82520.1441,Rigid bronchoscopy,Rigid bronchoscope/tracheoscope tube,bronchoscope,Bronchoscope,rigid_tracheoscope,Rigid tracheoscope,high,false,name_rule,RIGID_BRONCHOSCOPE_BARREL,RIGID_BRONCH
PRD-00C2BB78A4,Karl Storz,Reusable Suction Valve,11301CB,Flexible bronchoscopy,Flexible bronchoscope valve,accessory,Accessory or ancillary item,endoscope_seal_valve,"Endoscope seal, valve, or adapter",high,false,pair_rule,,
PRD-00FC2A29AC,Novatech,DUMON TD Silicone Airway Stent,03531S,Airway stent,Silicone TD stent,airway_stent,Airway stent,silicone_straight_stent,Silicone straight airway stent,high,false,pair_rule,AIRWAY_STENT_SILICONE_STRAIGHT,RIGID_BRONCH
PRD-011BE58B2D,Karl Storz,Universal Forceps,10366U,Rigid bronchoscopy,Rigid bronchoscopy forceps/scissors,forceps_instrument,Forceps and hand instruments,rigid_forceps,Rigid bronchoscopy forceps or scissors,high,false,pair_rule,RIGID_FORCEPS,RIGID_BRONCH
PRD-014290DBD6,Novatech,DUMON TF Silicone Airway Stent,03321FS,Airway stent,Silicone TF stent,airway_stent,Airway stent,silicone_straight_stent,Silicone straight airway stent,high,false,pair_rule,AIRWAY_STENT_SILICONE_STRAIGHT,RIGID_BRONCH
PRD-019030A1C7,Karl Storz,Aspirator for Collecting Secretions with Cut-Off Hole,10432N,Rigid bronchoscopy,Bronchoscopy aspiration/irrigation accessory,suction_irrigation,Suction or irrigation device,rigid_suction_catheter,Rigid suction catheter or tube,high,false,pair_rule,SPECIMEN_TRAP,EBUS_TBNA|FLEX_DIAGNOSTIC|ICU_BRONCH|TB_RULEOUT
PRD-019F07860E,Novatech,GSS TD Tracheal Stent,01TD1130,Airway stent,Silicone TD stent,airway_stent,Airway stent,silicone_straight_stent,Silicone straight airway stent,high,false,pair_rule,AIRWAY_STENT_SILICONE_STRAIGHT,
PRD-01F519887A,Richard Wolf,PANOVIEW ULTRA Telescope,89354426,Medical thoracoscopy,Thoracoscopy telescope,endoscopic_telescope,Endoscopic telescope,thoracoscopy_telescope,Thoracoscopy telescope,high,false,pair_rule,THORACOSCOPE_RIGID,MED_THORACOSCOPY
PRD-0221D4FEAA,Richard Wolf,PANOVIEW ULTRA Telescope,8935461,Medical thoracoscopy,Thoracoscopy telescope,endoscopic_telescope,Endoscopic telescope,thoracoscopy_telescope,Thoracoscopy telescope,high,false,pair_rule,THORACOSCOPE_RIGID,MED_THORACOSCOPY
PRD-023092D446,Richard Wolf,"Parenchyma Forceps 50 mm, Curved Right",8242.604,Medical thoracoscopy,Thoracoscopy instrument,forceps_instrument,Forceps and hand instruments,thoracoscopy_hand_instrument,Thoracoscopy hand instrument,high,false,pair_rule,THORACOSCOPY_BIOPSY_FORCEPS,MED_THORACOSCOPY
PRD-023CDB45EE,ICU Medical,Bivona TTS Extra Length Fixed Neck Flange Hyperflex Tracheostomy Tubes 8,67FHXL80,Airway management,Cuffed tracheostomy tube,tracheostomy_tube,Tracheostomy tube,cuffed_tracheostomy_tube,Cuffed tracheostomy tube,high,false,pair_rule,TRACH_TUBE_CUFFED,
PRD-024D6B3E35,OmniGuide,VELOCITY High Performance Fiber,332005,Laser,Hollow-core CO2 waveguide fibre,laser_system,Laser system,laser_fiber,Laser fiber,high,false,pair_rule,LASER_FIBER,
PRD-02641F9166,Karl Storz,Round Spoon Biopsy Forceps,10371L,Rigid bronchoscopy,Rigid bronchoscopy forceps/scissors,forceps_instrument,Forceps and hand instruments,rigid_forceps,Rigid bronchoscopy forceps or scissors,high,false,pair_rule,RIGID_FORCEPS,RIGID_BRONCH
PRD-0268D7E030,EFER,"Silicone cap, 25 mm, for 4 mm endoscope, green coded",BS2302-3,Rigid bronchoscopy,Rigid bronchoscope or stent-placement accessory,accessory,Accessory or ancillary item,rigid_bronchoscopy_accessory,Rigid bronchoscopy accessory,high,false,pair_rule,RIGID_BRONCHOSCOPE_ACCESSORY,
PRD-027269F110,Richard Wolf,TipControl Articulated Scissors,823400003,Rigid bronchoscopy,Articulated rigid bronchoscopic instrument,forceps_instrument,Forceps and hand instruments,articulated_rigid_instrument,Articulated rigid instrument,high,false,pair_rule,RIGID_FORCEPS,RIGID_BRONCH
PRD-0288AF3C36,Karl Storz,"HOPKINS Straight Forward Telescope 0 deg, 2.7 mm x 18 cm",10018AA,Rigid bronchoscopy,Rigid bronchoscopy telescope,endoscopic_telescope,Endoscopic telescope,rigid_telescope,Rigid bronchoscopy telescope,high,false,pair_rule,RIGID_TELESCOPE,
PRD-028E85E656,Novatech,"ROTEPS Head - Grasping forceps, strong teeth",02BRT30299,Rigid bronchoscopy,Forceps head,forceps_instrument,Forceps and hand instruments,modular_forceps_component,Modular forceps component,high,false,pair_rule,RIGID_FORCEPS,RIGID_BRONCH
PRD-02BE5F7D32,Merit Medical,MAXXwire Guide Wire,80129-404,Airway stenting,Pulmonary guidewire,guidewire,Guidewire,pulmonary_guidewire,Pulmonary guidewire,high,false,pair_rule,PULMONARY_GUIDEWIRE,THERAPEUTIC_BRONCH
PRD-02DE06B9C9,Novatech,GSS TF Thin Tracheal Stent,01TF1230,Airway stent,Silicone TF stent,airway_stent,Airway stent,silicone_straight_stent,Silicone straight airway stent,high,false,pair_rule,AIRWAY_STENT_SILICONE_STRAIGHT,
PRD-03124BDA63,Medtronic,ILLUMISITE Bronchoscope Adapter – Olympus 190,ILS-2100-BA,Peripheral bronchoscopy,Navigation bronchoscope adapter,navigation_system,Navigation or robotic system,navigation_accessory,Navigation system accessory,high,false,pair_rule,GENERIC_AIRWAY_ADAPTER|NAV_BRONCHOSCOPE_ADAPTER,ICU_BRONCH|PERC_TRACH|TB_RULEOUT|WLL
PRD-03568EABFB,Merit Medical,TAPS Thoracentesis and Paracentesis Set — TAPS-5F-12PLT,TAPS-5F-12PLT,Pleural procedures,Thoracentesis set,pleural_drainage,Pleural drainage device,thoracentesis_set,Thoracentesis catheter or set,high,false,pair_rule,THORACENTESIS_KIT,
PRD-039120780F,Olympus,Balloon Catheter 11 mm,B5-2C,Endobronchial valve,Sizing / occlusion balloon catheter,sizing_measuring,Sizing or measuring device,sizing_occlusion_balloon,Sizing / occlusion balloon catheter,moderate,false,pair_rule,EBV_SIZING_BALLOON,EBV
PRD-03ABC75AEE,ICU Medical,Bivona Mid-Range Aire-Cuf Adjustable Neck Flange Hyperflex Tracheostomy Tubes 5,60HA50,Airway management,Cuffed tracheostomy tube,tracheostomy_tube,Tracheostomy tube,cuffed_tracheostomy_tube,Cuffed tracheostomy tube,high,false,pair_rule,TRACH_TUBE_CUFFED,
PRD-040164F5D4,EFER,"Fenestrated grasping forceps, 1.5 mm shaft, 60 cm",BPS2007,Rigid bronchoscopy,Rigid bronchoscopy forceps/instrument,forceps_instrument,Forceps and hand instruments,rigid_forceps,Rigid bronchoscopy forceps or scissors,high,false,pair_rule,RIGID_FORCEPS,
PRD-040CC03419,ICU Medical,"Bivona Fome-Cuf Neonatal Tracheostomy Tubes (""V"" Neck Flange) 3",85N030,Airway management,Cuffed tracheostomy tube,tracheostomy_tube,Tracheostomy tube,cuffed_tracheostomy_tube,Cuffed tracheostomy tube,high,false,pair_rule,TRACH_TUBE_CUFFED,
PRD-040ECD5E76,EFER,"Silicone cap, 25 mm, for 6 mm fiberscope, grey coded",BS2305-3,Rigid bronchoscopy,Rigid bronchoscope or stent-placement accessory,accessory,Accessory or ancillary item,rigid_bronchoscopy_accessory,Rigid bronchoscopy accessory,high,false,pair_rule,RIGID_BRONCHOSCOPE_ACCESSORY,
PRD-0410844D48,Cook Medical,Fuhrman Pleural/Pneumopericardial Drainage Set and Tray,G55713,Pleural procedures,Small-bore pleural drainage set,pleural_drainage,Pleural drainage device,small_bore_drainage_kit,Small-bore pleural drainage set,high,false,pair_rule,CHEST_TUBE_SMALL_BORE,CHEST_TUBE|EBV|MED_THORACOSCOPY|WLL
PRD-042A57F191,Karl Storz,Coagulation Suction Tube,10390AN,Endoscopy platform,Rigid suction catheter,suction_irrigation,Suction or irrigation device,rigid_suction_catheter,Rigid suction catheter or tube,high,false,pair_rule,RIGID_SUCTION_CATHETER,RIGID_BRONCH
PRD-042B406005,Novatech,DUTAU NOVATECH Injection Cannula,02BRD1110,Rigid bronchoscopy,Rigid bronchoscope system,accessory,Accessory or ancillary item,rigid_scope_component,Rigid bronchoscope component,moderate,false,pair_rule,RIGID_BRONCHOSCOPE_ACCESSORY,RIGID_BRONCH
PRD-0451E9F3F7,Karl Storz,"DOESEL-HUZLY Bronchoscope, Size 2.5, 18.5 cm",10339F,Rigid bronchoscopy,Pediatric rigid bronchoscope,bronchoscope,Bronchoscope,rigid_bronchoscope,Rigid bronchoscope,high,false,pair_rule,RIGID_BRONCHOSCOPE_BARREL,
PRD-045F1D520E,Micro-Tech Endoscopy,Micro-Tech Uncovered Y-Shaped Tracheal Stent,ST02-961-18.060,Airway stent,Y-shaped self-expanding metallic airway stent,airway_stent,Airway stent,sems_y_shaped,Y-shaped self-expanding metallic stent,high,false,pair_rule,AIRWAY_STENT_SEMS_UNCOVERED,THERAPEUTIC_BRONCH
PRD-047902FA9C,Olympus,WM-NP3 Series Workstation,WM-NP3,Endoscopy platform,Endoscopy workstation,console_capital,Console or capital equipment,endoscopy_workstation,Endoscopy workstation or cart,high,false,pair_rule,ENDOSCOPY_CART,
PRD-04A0F61F62,Ambu,Ambu aScope 5 Broncho HD 5.6/2.8 Sampler Set,622002000US,Bronchoscopy platform,Single-use bronchoscope sampler set,bronchoscope,Bronchoscope,single_use_bronchoscope_set,Single-use bronchoscope sampler set,high,false,pair_rule,BAL_KIT|FLEX_SCOPE_SINGLE_USE,FLEX_DIAGNOSTIC|ICU_BRONCH|PERC_TRACH|TB_RULEOUT|THERAPEUTIC_BRONCH|WLL
PRD-04A299EF7E,Atrium Medical (Getinge),"Atrium Firm PVC Thoracic Catheter, 24 Fr Straight",15024,Pleural procedures,Surgical thoracic catheter,pleural_drainage,Pleural drainage device,thoracic_catheter,Chest tube (thoracic catheter),high,false,pair_rule,CHEST_TUBE_LARGE_BORE|CHEST_TUBE_SURGICAL,
PRD-04F9EBA54C,Merit Medical,AERO DV Direct Visualization Tracheobronchial Stent,90129-310,Airway stent,Covered SEMS,airway_stent,Airway stent,sems_fully_covered,Fully covered self-expanding metallic stent,high,false,pair_rule,AIRWAY_STENT_SEMS_COVERED,RIGID_BRONCH|THERAPEUTIC_BRONCH
PRD-050EDDE140,Karl Storz,Laryngeal Atomizer,10454,Rigid bronchoscopy,Rigid bronchoscopy accessory,accessory,Accessory or ancillary item,rigid_bronchoscopy_accessory,Rigid bronchoscopy accessory,high,false,pair_rule,RIGID_BRONCHOSCOPE_ACCESSORY,RIGID_BRONCH
PRD-053D7E2071,Novatech,GSS TF Thin Tracheal Stent,01TF20110,Airway stent,Silicone TF stent,airway_stent,Airway stent,silicone_straight_stent,Silicone straight airway stent,high,false,pair_rule,AIRWAY_STENT_SILICONE_STRAIGHT,
PRD-05670F1B5F,ERBE,Flexible Cryoprobe 2.4 mm,20402-411,Therapeutic bronchoscopy,Flexible cryoprobe,cryotherapy,Cryotherapy device,flexible_cryoprobe,Flexible cryoprobe,high,false,pair_rule,CRYOPROBE_FLEX,RIGID_BRONCH|THERAPEUTIC_BRONCH
PRD-0577F2977F,Richard Wolf,Optical Grasping Forceps Grasper 3XL,8466654,Rigid bronchoscopy,Optical rigid bronchoscopy forceps,forceps_instrument,Forceps and hand instruments,optical_rigid_forceps,Optical rigid forceps,high,false,pair_rule,RIGID_FORCEPS,RIGID_BRONCH
PRD-05780FEDD7,Boston Scientific,Ultraflex Partially Covered Tracheobronchial Stent System,M00576560,Airway stent,Partially covered SEMS,airway_stent,Airway stent,sems_partially_covered,Partially covered self-expanding metallic stent,high,false,pair_rule,AIRWAY_STENT_SEMS_COVERED,RIGID_BRONCH|THERAPEUTIC_BRONCH
PRD-058B06F45B,Richard Wolf,Optical Pike-Mouth Grasping Forceps,8464.61,Rigid bronchoscopy,Optical rigid bronchoscopy forceps,forceps_instrument,Forceps and hand instruments,optical_rigid_forceps,Optical rigid forceps,high,false,pair_rule,RIGID_FORCEPS,RIGID_BRONCH
PRD-0594E8207A,Merit Medical,One-Step Centesis Catheter — OSC-4F-17PL,OSC-4F-17PL,Pleural procedures,Thoracentesis catheter,pleural_drainage,Pleural drainage device,thoracentesis_set,Thoracentesis catheter or set,high,false,pair_rule,THORACENTESIS_KIT,
PRD-063913C3C0,Micro-Tech Endoscopy,Micro-Tech Fully covered Straight Tracheal Stent,ST02-334-16.050,Airway stent,Straight self-expanding metallic airway stent,airway_stent,Airway stent,sems_fully_covered,Fully covered self-expanding metallic stent,high,false,name_rule,AIRWAY_STENT_SEMS_COVERED,RIGID_BRONCH|THERAPEUTIC_BRONCH
PRD-06811F5515,Karl Storz,HUZLY Suction Tube 3 mm x 35 cm,10434B,Rigid bronchoscopy,Bronchoscopy aspiration/irrigation accessory,suction_irrigation,Suction or irrigation device,rigid_suction_catheter,Rigid suction catheter or tube,high,false,pair_rule,RIGID_SUCTION_CATHETER,RIGID_BRONCH
PRD-068982E6EA,Merit Medical,One-Step Valved Centesis Catheter — OSC-8F-17PT,OSC-8F-17PT,Pleural procedures,Thoracentesis catheter,pleural_drainage,Pleural drainage device,thoracentesis_set,Thoracentesis catheter or set,high,false,pair_rule,THORACENTESIS_KIT,
PRD-06D2F10782,Karl Storz,Positive-Pressure Ventilation Injection Cannula,10318K,Rigid bronchoscopy,Rigid bronchoscope accessory,accessory,Accessory or ancillary item,rigid_scope_component,Rigid bronchoscope component,moderate,false,pair_rule,RIGID_BRONCHOSCOPE_ACCESSORY,RIGID_BRONCH
PRD-070884900C,Cook Medical,Multipurpose Plastic Tubing Adapter,G05302,Pleural procedures,Pleural drainage accessory,pleural_drainage,Pleural drainage device,pleural_drainage_accessory,Pleural drainage accessory,high,false,pair_rule,PLEURAL_DRAINAGE_ACCESSORY,CHEST_TUBE|THORACENTESIS
PRD-070A63D4C6,Cook Medical,Thal-Quick Chest Tube Set — 32 Fr,G07243,Pleural procedures,Chest tube set,pleural_drainage,Pleural drainage device,thoracic_catheter,Chest tube (thoracic catheter),high,false,pair_rule,CHEST_TUBE_LARGE_BORE,
PRD-0714EF8A7B,Karl Storz,"Video Bronchoscope for Autofluorescence and White Light Diagnosis, PAL",11900AP,Flexible bronchoscopy,Autofluorescence video bronchoscope,bronchoscope,Bronchoscope,reusable_video_bronchoscope,Reusable video bronchoscope,high,false,pair_rule,FLEX_SCOPE_DIAGNOSTIC,
PRD-071D7736C1,Novatech,DUMON TD Silicone Airway Stent,04311S,Airway stent,Silicone TD stent,airway_stent,Airway stent,silicone_straight_stent,Silicone straight airway stent,high,false,pair_rule,AIRWAY_STENT_SILICONE_STRAIGHT,RIGID_BRONCH
PRD-071DA49031,Boston Scientific,Ultraflex Partially Covered Tracheobronchial Stent System,M00576580,Airway stent,Partially covered SEMS,airway_stent,Airway stent,sems_partially_covered,Partially covered self-expanding metallic stent,high,false,pair_rule,AIRWAY_STENT_SEMS_COVERED,RIGID_BRONCH|THERAPEUTIC_BRONCH
PRD-0741F72026,Karl Storz,"DOESEL-HUZLY Bronchoscope, Size 5, 40 cm",10339BL,Rigid bronchoscopy,Pediatric rigid bronchoscope,bronchoscope,Bronchoscope,rigid_bronchoscope,Rigid bronchoscope,high,false,pair_rule,RIGID_BRONCHOSCOPE_BARREL,
PRD-075C3EC5EE,FUJIFILM SonoSite,SonoSite L13-6 Transducer,L13-6,Ultrasound platform,Linear-array transducer,ultrasound_device,Ultrasound device,ultrasound_transducer,Ultrasound transducer,high,false,pair_rule,GENERIC_ULTRASOUND,CHEST_TUBE|IPC_PLACEMENT|MED_THORACOSCOPY|PERC_TRACH|THORACENTESIS
PRD-0790420A76,Olympus,GuideSheathKit 2,K-401,Peripheral bronchoscopy,Guide sheath kit,catheter_sheath,Catheter or guide sheath,guide_sheath_kit,Guide sheath kit,high,false,pair_rule,GUIDE_SHEATH_KIT,FLEX_DIAGNOSTIC
PRD-07A1B4DA10,Axess Vision Technology S.A.S.,Screeni Quick Mounting Bracket,30030010,Endoscopy platform,Platform accessory,accessory,Accessory or ancillary item,platform_accessory,Platform accessory,moderate,false,pair_rule,,
PRD-07A68D03D0,Teleflex,Holinger Bronchoscope 3X20,522575,Rigid bronchoscopy,Rigid bronchoscope tube,bronchoscope,Bronchoscope,rigid_bronchoscope,Rigid bronchoscope,high,false,pair_rule,RIGID_BRONCHOSCOPE_BARREL,
PRD-07CD91B74C,Merit Medical,TAPS Thoracentesis and Paracentesis Set — TAPS-8F-17PLT,TAPS-8F-17PLT,Pleural procedures,Thoracentesis set,pleural_drainage,Pleural drainage device,thoracentesis_set,Thoracentesis catheter or set,high,false,pair_rule,THORACENTESIS_KIT,
PRD-07CDEDC2AB,Teleflex,Arrow Pneumothorax Water-Seal Set,ASK-01500,Pleural procedures,Small-bore pneumothorax drainage kit,pleural_drainage,Pleural drainage device,pneumothorax_aspiration_set,Pneumothorax catheter or aspiration set,high,false,pair_rule,PNEUMOTHORAX_KIT,CHEST_TUBE
PRD-07EA3DD76E,Novatech,SURVAC PTFE Suction Catheter,77622,Rigid bronchoscopy,Suction catheter,suction_irrigation,Suction or irrigation device,flexible_suction_catheter,Flexible suction catheter,high,false,pair_rule,RIGID_SUCTION_CATHETER,RIGID_BRONCH
PRD-07EAE54A89,Olympus,Spiration Deployment Catheter and Loader – HUD,REF-HUS-C26N,Endobronchial valve,Historical HUD deployment catheter,implant_delivery,Implant delivery device,valve_delivery_catheter,Valve delivery catheter,high,false,pair_rule,EBV_DELIVERY_CATHETER,EBV
PRD-07FA3BEBCB,Merit Medical,One-Step Centesis Catheter — OSC-6F-7S,OSC-6F-7S,Pleural procedures,Thoracentesis catheter,pleural_drainage,Pleural drainage device,thoracentesis_set,Thoracentesis catheter or set,high,false,pair_rule,THORACENTESIS_KIT,
PRD-085F7B7BAF,Karl Storz,Plastic Container for Gas or Plasma Sterilization and Storage,39402A,Reprocessing,Flexible endoscope sterilization container,reprocessing,Reprocessing and cleaning equipment,reprocessor_accessory,Reprocessor accessory,high,false,pair_rule,,
PRD-087FFD6337,Karl Storz,Rubber Telescope Guide,10315N,Rigid bronchoscopy,Rigid bronchoscope accessory,accessory,Accessory or ancillary item,rigid_scope_component,Rigid bronchoscope component,moderate,false,pair_rule,RIGID_BRONCHOSCOPE_ACCESSORY,RIGID_BRONCH
PRD-08C3139357,Novatech,DUMON TF Silicone Airway Stent,04301FS,Airway stent,Silicone TF stent,airway_stent,Airway stent,silicone_straight_stent,Silicone straight airway stent,high,false,pair_rule,AIRWAY_STENT_SILICONE_STRAIGHT,RIGID_BRONCH
PRD-08F2047797,Atrium Medical (Getinge),"Atrium Soft PVC Thoracic Catheter, 10 Fr Straight",8010,Pleural procedures,Surgical thoracic catheter,pleural_drainage,Pleural drainage device,thoracic_catheter,Chest tube (thoracic catheter),high,false,pair_rule,CHEST_TUBE_SMALL_BORE|CHEST_TUBE_SURGICAL,
PRD-08F33F770D,Karl Storz,"Silicone-Free Instrument Oil, 50 ml",27656B,Reprocessing,Flexible endoscope maintenance accessory,reprocessing,Reprocessing and cleaning equipment,reprocessor_accessory,Reprocessor accessory,moderate,false,pair_rule,,
PRD-09192221FE,Novatech,DUTAU NOVATECH Axial Cap - 9 mm,02BRD9105,Rigid bronchoscopy,Axial cap,accessory,Accessory or ancillary item,rigid_scope_component,Rigid bronchoscope component,high,false,pair_rule,RIGID_BRONCHOSCOPE_ACCESSORY,RIGID_BRONCH
PRD-095515E20C,Richard Wolf,TEXAS Bronchoscope Tube ID 13 mm,82520.1041,Rigid bronchoscopy,Rigid bronchoscope/tracheoscope tube,bronchoscope,Bronchoscope,rigid_bronchoscope,Rigid bronchoscope,high,false,pair_rule,RIGID_BRONCHOSCOPE_BARREL,RIGID_BRONCH
PRD-09AB6CA202,Auris Health (Johnson & Johnson),"Monarch Platform, Bronchoscopy 4.1",MON-000008,Peripheral navigation,Robotic bronchoscopy navigation platform,navigation_system,Navigation or robotic system,robotic_navigation_platform,Robotic bronchoscopy platform,high,false,pair_rule,ROBOTIC_BRONCH_PLATFORM,
PRD-09AF1B1AE5,ERBE,"Pressure Reducer with Sensor for APC 2/APC 3, CGA Group",20134-006,Therapeutic bronchoscopy,Pressure reducer,electrosurgical,Electrosurgical or APC device,gas_supply_accessory,Gas supply accessory,high,false,pair_rule,APC_GAS_ACCESSORY,RIGID_BRONCH|THERAPEUTIC_BRONCH
PRD-0A062BF907,ICU Medical,Bivona Mid-Range Aire-Cuf Adult Tracheostomy Tubes 8,750180,Airway management,Cuffed tracheostomy tube,tracheostomy_tube,Tracheostomy tube,cuffed_tracheostomy_tube,Cuffed tracheostomy tube,high,false,pair_rule,TRACH_TUBE_CUFFED,
PRD-0A2A8CB33F,Olympus,Spiration Valve Cartridge,SVS-V7-00,Endobronchial valve,Valve implant,valve_occluder,"Airway valve, blocker, or occluder",endobronchial_valve,Endobronchial valve,high,false,pair_rule,EBV_VALVE,EBV
PRD-0A2ABE77F9,Karl Storz,Aspirator for Collecting Secretions without Cut-Off Hole,10432T,Rigid bronchoscopy,Bronchoscopy aspiration/irrigation accessory,suction_irrigation,Suction or irrigation device,rigid_suction_catheter,Rigid suction catheter or tube,high,false,pair_rule,SPECIMEN_TRAP,EBUS_TBNA|FLEX_DIAGNOSTIC|ICU_BRONCH|TB_RULEOUT
PRD-0A33F2E846,Cook Medical,Fuhrman Pleural/Pneumopericardial Drainage Set — 12 Fr,G55727,Pleural procedures,Small-bore pleural drainage set,pleural_drainage,Pleural drainage device,small_bore_drainage_kit,Small-bore pleural drainage set,high,false,pair_rule,CHEST_TUBE_SMALL_BORE,
PRD-0A7B35E327,EFER,Bronchoscope seal-ring pack,BK2100-3,Rigid bronchoscopy,Rigid bronchoscope or stent-placement accessory,accessory,Accessory or ancillary item,rigid_bronchoscopy_accessory,Rigid bronchoscopy accessory,high,false,pair_rule,RIGID_BRONCHOSCOPE_ACCESSORY,
PRD-0A889B7C1B,ICU Medical,"Bivona TTS Pediatric Tracheostomy Tubes (Cuffed ""V"" Neck Flange) 3",67P030,Airway management,Cuffed tracheostomy tube,tracheostomy_tube,Tracheostomy tube,cuffed_tracheostomy_tube,Cuffed tracheostomy tube,high,false,pair_rule,TRACH_TUBE_CUFFED,
PRD-0A907A3C1A,EFER,Standard pediatric bronchoscope kit with BX3000 endoscope and BKF3200 forceps kit,BKE3020,Rigid bronchoscopy,Rigid bronchoscope or stent-placement accessory,accessory,Accessory or ancillary item,rigid_bronchoscopy_accessory,Rigid bronchoscopy accessory,high,false,pair_rule,RIGID_BRONCHOSCOPE_ACCESSORY,
PRD-0A90C0B244,Axess Vision Technology S.A.S.,Easy BAL Clip,41010000,Endoscopy platform,Platform accessory,accessory,Accessory or ancillary item,platform_accessory,Platform accessory,moderate,false,pair_rule,,
PRD-0A93A5E8C4,ERBE,ERBE VIO 3 Electrosurgical Unit,10160-000,Energy platform,Electrosurgical generator,electrosurgical,Electrosurgical or APC device,electrosurgical_generator,Electrosurgical generator,high,false,pair_rule,ENERGY_PLATFORM,
PRD-0A9806F6F2,ERBE,"Bipolar Connecting Cable, Martin Standard, 5 m",20196-059,Therapeutic bronchoscopy,Bipolar cable,electrosurgical,Electrosurgical or APC device,electrosurgical_cable,Electrosurgical connecting cable,high,false,pair_rule,ENERGY_CABLE_ADAPTER,RIGID_BRONCH|THERAPEUTIC_BRONCH
PRD-0ADECF7C68,ERBE,"Bipolar Connecting Cable, International 2-Pin 22 mm, 5 m",20196-061,Therapeutic bronchoscopy,Bipolar cable,electrosurgical,Electrosurgical or APC device,electrosurgical_cable,Electrosurgical connecting cable,high,false,pair_rule,ENERGY_CABLE_ADAPTER,RIGID_BRONCH|THERAPEUTIC_BRONCH
PRD-0B0CC1045A,Cook Medical,Blue Rhino G2-Multi Percutaneous Tracheostomy Tray without Pharmaceuticals with 7.5 mm Shiley Evac Tube,G57722,Percutaneous tracheostomy,Percutaneous tracheostomy tray,other_needs_review,Other / needs review,unclassified_device,Unclassified — needs review,needs_review,true,pair_rule,PERC_TRACH_KIT,
PRD-0B65831FF3,Novatech,DUMON TD Silicone Airway Stent,03321S,Airway stent,Silicone TD stent,airway_stent,Airway stent,silicone_straight_stent,Silicone straight airway stent,high,false,pair_rule,AIRWAY_STENT_SILICONE_STRAIGHT,RIGID_BRONCH
PRD-0B677E0328,Auris Health (Johnson & Johnson),Monarch Endoscopy Platform (P1),MON000005,Peripheral navigation,Robotic bronchoscopy navigation platform,navigation_system,Navigation or robotic system,robotic_navigation_platform,Robotic bronchoscopy platform,high,false,pair_rule,ROBOTIC_BRONCH_PLATFORM,
PRD-0B94236A0C,ICU Medical,"Bivona Fome-Cuf Pediatric Tracheostomy Tubes (""V"" Neck Flange) 5",85P050,Airway management,Cuffed tracheostomy tube,tracheostomy_tube,Tracheostomy tube,cuffed_tracheostomy_tube,Cuffed tracheostomy tube,high,false,pair_rule,TRACH_TUBE_CUFFED,
PRD-0BA1BB5296,Richard Wolf,TipControl Articulated Grasping Forceps,823400002,Rigid bronchoscopy,Articulated rigid bronchoscopic instrument,forceps_instrument,Forceps and hand instruments,articulated_rigid_instrument,Articulated rigid instrument,high,false,pair_rule,RIGID_FORCEPS,RIGID_BRONCH
PRD-0BB7A3887E,Karl Storz,"Broncho-Fiberscope for Examining Segmental Bronchi, 2.8 mm x 70 cm",11005BC,Flexible bronchoscopy,Reusable broncho-fiberscope,bronchoscope,Bronchoscope,bronchofiberscope,Bronchofiberscope,high,false,pair_rule,FLEX_SCOPE_DIAGNOSTIC,
PRD-0BB94EB28B,Merit Medical,One-Step Centesis Catheter — OSC-4F-7L,OSC-4F-7L,Pleural procedures,Thoracentesis catheter,pleural_drainage,Pleural drainage device,thoracentesis_set,Thoracentesis catheter or set,high,false,pair_rule,THORACENTESIS_KIT,
PRD-0BBA9245DC,Cardinal Health,"Argyle Silicone Thoracic Catheter — Right-angle, 32 Fr × 20 in",8888573055,Pleural procedures,Surgical chest tube,pleural_drainage,Pleural drainage device,thoracic_catheter,Chest tube (thoracic catheter),high,false,pair_rule,CHEST_TUBE_SURGICAL,
PRD-0BC1CD8B0F,EFER,"Adult bronchial bronchoscope tube, 13.2/12.2 mm, 36 cm",BT2000-3,Rigid bronchoscopy,Rigid bronchoscope tube,bronchoscope,Bronchoscope,rigid_bronchoscope,Rigid bronchoscope,high,false,pair_rule,RIGID_BRONCHOSCOPE_BARREL,
PRD-0BCFAC0926,Richard Wolf,Cotton Swab,8295.35,Rigid bronchoscopy,Rigid bronchoscopy suction/accessory,accessory,Accessory or ancillary item,rigid_bronchoscopy_accessory,Rigid bronchoscopy accessory,moderate,false,pair_rule,RIGID_BRONCHOSCOPE_ACCESSORY,RIGID_BRONCH
